ExpenseID,ExpenseDateKey,ExpenseCategoryID,VendorID,ExpenseDescription,ExpenseAmountOriginalCurrency,CurrencyCode,ExchangeRateToGBPAtPayment,ExpenseAmountGBP,PaymentMethod,ExpenseStatus
100018,20240102,1,3,Marketing expense - TikTok for Business,249.87,GBP,1.0,249.87,Bank Transfer,Paid
100153,20240111,3,13,Website and Domain expense - Namecheap,151.64,GBP,1.0,151.64,Direct Debit,Paid
100010,20240112,4,6,Storage expense - Shurgard Self Storage,177.47,GBP,1.0,177.47,Direct Debit,Paid
100128,20240112,6,10,Accounting expense - Xero,155.43,GBP,1.0,155.43,PayPal,Paid
100246,20240115,9,11,Professional Services expense - Companies House,731.43,GBP,1.0,731.43,Business Credit Card,Paid
100033,20240117,9,11,Professional Services expense - Companies House,535.78,GBP,1.0,535.78,PayPal,Paid
100229,20240118,1,2,Marketing expense - Meta,100.16,GBP,1.0,100.16,Business Credit Card,Paid
100249,20240119,2,5,Software expense - Microsoft,23.35,GBP,1.0,23.35,Business Debit Card,Paid
100146,20240125,8,14,Utilities expense - Octopus Energy,29.71,GBP,1.0,29.71,Business Debit Card,Cancelled
100126,20240130,1,3,Marketing expense - TikTok for Business,443.67,GBP,1.0,443.67,PayPal,Paid
100125,20240131,1,2,Marketing expense - Meta,170.52,GBP,1.0,170.52,Business Credit Card,Paid
100115,20240208,9,11,Professional Services expense - Companies House,78.21,GBP,1.0,78.21,Bank Transfer,Paid
100009,20240209,7,9,Insurance expense - AXA Business Insurance,37.42,GBP,1.0,37.42,PayPal,Paid
100055,20240209,9,15,Professional Services expense - Independent Business Consultant,354.73,GBP,1.0,354.73,Business Debit Card,Paid
100064,20240210,2,5,Software expense - Microsoft,16.02,GBP,1.0,16.02,Business Debit Card,Paid
100215,20240210,2,10,Software expense - Xero,22.1,GBP,1.0,22.1,PayPal,Paid
100014,20240219,1,3,Marketing expense - TikTok for Business,338.08,GBP,1.0,338.08,Business Debit Card,Paid
100015,20240219,3,1,Website and Domain expense - Shopify,98.38,GBP,1.0,98.38,Direct Debit,Paid
100075,20240221,1,3,Marketing expense - TikTok for Business,166.72,GBP,1.0,166.72,Business Credit Card,Paid
100105,20240221,2,12,Software expense - Google Workspace,39.98,GBP,1.0,39.98,Business Debit Card,Paid
100235,20240225,3,13,Website and Domain expense - Namecheap,79.91,GBP,1.0,79.91,Bank Transfer,Paid
100248,20240226,9,15,Professional Services expense - Independent Business Consultant,463.65,GBP,1.0,463.65,Bank Transfer,Paid
100093,20240228,5,8,Packaging expense - Packhelp,70.91,EUR,0.86,60.98,Bank Transfer,Paid
100035,20240303,1,3,Marketing expense - TikTok for Business,530.12,GBP,1.0,530.12,PayPal,Paid
100023,20240304,5,8,Packaging expense - Packhelp,119.19,EUR,0.86,102.5,Business Credit Card,Paid
100150,20240305,6,15,Accounting expense - Independent Business Consultant,40.28,GBP,1.0,40.28,Direct Debit,Paid
100087,20240311,5,8,Packaging expense - Packhelp,228.12,EUR,0.86,196.18,Business Credit Card,Paid
100028,20240314,2,4,Software expense - Canva,27.1,GBP,1.0,27.1,Business Debit Card,Paid
100083,20240324,9,11,Professional Services expense - Companies House,372.4,GBP,1.0,372.4,Direct Debit,Paid
100041,20240327,1,3,Marketing expense - TikTok for Business,68.18,GBP,1.0,68.18,Direct Debit,Paid
100222,20240331,5,8,Packaging expense - Packhelp,257.7,EUR,0.86,221.62,Business Debit Card,Paid
100163,20240402,6,10,Accounting expense - Xero,261.74,GBP,1.0,261.74,Business Credit Card,Paid
100219,20240404,1,2,Marketing expense - Meta,576.36,GBP,1.0,576.36,Business Credit Card,Paid
100137,20240406,1,3,Marketing expense - TikTok for Business,311.55,GBP,1.0,311.55,Bank Transfer,Paid
100143,20240407,2,4,Software expense - Canva,88.91,GBP,1.0,88.91,PayPal,Paid
100208,20240408,8,14,Utilities expense - Octopus Energy,48.93,GBP,1.0,48.93,Bank Transfer,Paid
100026,20240409,2,10,Software expense - Xero,85.33,GBP,1.0,85.33,Bank Transfer,Paid
100032,20240412,4,6,Storage expense - Shurgard Self Storage,137.62,GBP,1.0,137.62,Business Debit Card,Paid
100043,20240412,7,9,Insurance expense - AXA Business Insurance,100.02,GBP,1.0,100.02,Business Debit Card,Paid
100088,20240415,5,8,Packaging expense - Packhelp,467.23,EUR,0.86,401.82,Direct Debit,Paid
100192,20240416,4,6,Storage expense - Shurgard Self Storage,149.05,GBP,1.0,149.05,Bank Transfer,Paid
100020,20240417,1,2,Marketing expense - Meta,389.87,GBP,1.0,389.87,Bank Transfer,Paid
100149,20240422,5,8,Packaging expense - Packhelp,475.66,EUR,0.86,409.07,PayPal,Paid
100188,20240428,2,12,Software expense - Google Workspace,13.15,GBP,1.0,13.15,Bank Transfer,Paid
100157,20240429,4,6,Storage expense - Shurgard Self Storage,159.4,GBP,1.0,159.4,PayPal,Paid
100195,20240430,6,15,Accounting expense - Independent Business Consultant,298.38,GBP,1.0,298.38,Business Debit Card,Paid
100132,20240502,1,3,Marketing expense - TikTok for Business,569.2,GBP,1.0,569.2,Direct Debit,Paid
100124,20240505,2,4,Software expense - Canva,35.69,GBP,1.0,35.69,Business Debit Card,Paid
100111,20240508,1,3,Marketing expense - TikTok for Business,78.05,GBP,1.0,78.05,PayPal,Paid
100193,20240511,1,2,Marketing expense - Meta,458.03,GBP,1.0,458.03,PayPal,Paid
100240,20240521,1,3,Marketing expense - TikTok for Business,180.77,GBP,1.0,180.77,PayPal,Paid
100008,20240523,2,5,Software expense - Microsoft,15.91,GBP,1.0,15.91,Business Credit Card,Paid
100170,20240529,7,9,Insurance expense - AXA Business Insurance,93.92,GBP,1.0,93.92,Business Debit Card,Paid
100031,20240606,1,3,Marketing expense - TikTok for Business,486.61,GBP,1.0,486.61,Business Debit Card,Paid
100224,20240606,5,8,Packaging expense - Packhelp,372.81,EUR,0.86,320.62,Bank Transfer,Paid
100030,20240610,8,14,Utilities expense - Octopus Energy,23.36,GBP,1.0,23.36,Direct Debit,Paid
100183,20240610,1,3,Marketing expense - TikTok for Business,363.87,GBP,1.0,363.87,Business Debit Card,Paid
100186,20240611,8,14,Utilities expense - Octopus Energy,138.97,GBP,1.0,138.97,Bank Transfer,Paid
100233,20240611,3,1,Website and Domain expense - Shopify,197.27,GBP,1.0,197.27,PayPal,Paid
100179,20240613,1,2,Marketing expense - Meta,470.05,GBP,1.0,470.05,Business Debit Card,Paid
100214,20240620,7,9,Insurance expense - AXA Business Insurance,38.04,GBP,1.0,38.04,Bank Transfer,Paid
100004,20240623,5,8,Packaging expense - Packhelp,358.0,EUR,0.86,307.88,Business Debit Card,Paid
100239,20240623,3,1,Website and Domain expense - Shopify,129.9,GBP,1.0,129.9,Business Debit Card,Paid
100046,20240625,4,6,Storage expense - Shurgard Self Storage,257.23,GBP,1.0,257.23,Bank Transfer,Paid
100176,20240709,6,10,Accounting expense - Xero,146.32,GBP,1.0,146.32,Bank Transfer,Paid
100121,20240713,6,15,Accounting expense - Independent Business Consultant,195.75,GBP,1.0,195.75,PayPal,Cancelled
